size, customer, years_trading, years_customer, turn_over, bop, credit_rating, employees, corporate_family, country, 	market, period, abc, ly_spend, budget_spend, curr_period_fc, last_period, curr_period_ly, weather_fc, make_budget_lp, make_budget_ply, make_budget, probability
VS,3953,6,5,61752,50, dd,1,n,sweden,flat,10,c,41992,3500,3500,2380,3010,fine,y,n,0,0.9944988
S,3954,19,19,192316,78, dd,1,n,denmark,flat,10,b,150007,12501,10001,11251,10126,l-snow,y,y,0,1.0
VS,3955,13,4,92337,45, cc,1,n,sweden,flat,10,b,91414,7618,7618,7390,5638,fine,y,n,1,1.0
S,3956,17,13,245816,100, c,2,n,finland,flat,10,c,189279,15774,12619,14985,15458,l-snow,y,n,1,1.0
VS,3957,1,1,85550,58, dd,1,n,norway,flat,10,c,67585,5633,2817,3549,5407,rain,y,y,0,1.0
S,3958,15,5,171725,5, b,1,n,sweden,flat,10,b,133946,11163,11163,10270,9935,fine,y,y,1,1.0
VS,3959,5,3,68364,70, ddd,1,n,sweden,flat,10,c,38968,3248,3248,1949,3150,fine,y,y,0,1.0
S,3960,7,0,118935,99, d,1,n,uk,flat,10,c,85634,7137,5709,7137,4853,l-rain,y,y,0,1.0
VS,3961,11,1,62375,26, c,1,n,sweden,flat,10,c,31812,2651,2651,2148,2413,fine,n,y,1,1.0
S,3962,8,6,242984,91, b,2,n,denmark,flat,10,c,177379,14782,11826,9904,9017,l-snow,y,y,0,1.0
VS,3963,9,1,57768,59, dd,1,n,finland,flat,10,c,50836,4237,3390,3220,3051,l-snow,y,n,0,1.0
S,3964,11,6,162938,27, dd,1,n,sweden,flat,10,c,96134,8012,8012,5528,6970,fine,y,n,0,1.0
VS,3965,19,4,82959,100, ddd,1,n,sweden,flat,10,b,53094,4425,4425,3673,4292,fine,n,n,1,1.0
S,3966,8,1,108214,20, cc,1,n,sweden,flat,10,b,58436,4870,4870,4821,4042,fine,n,y,1,1.0
VS,3967,13,10,75478,75, b,1,n,finland,pitched,10,b,49061,4089,3271,2862,2535,l-snow,y,n,0,1.0
S,3968,15,5,244639,91, ccc,2,n,denmark,pitched,10,c,195712,16310,13048,15331,12559,l-snow,n,y,1,1.0
VS,3969,19,9,88055,23, b,1,n,uk,pitched,10,c,86294,7192,5753,6760,5825,l-rain,y,y,0,1.0
S,3970,18,16,136446,90, c,1,n,norway,pitched,10,b,100971,8415,4208,6564,8246,rain,y,y,0,1.0
VS,3971,5,2,56116,81, c,1,n,denmark,pitched,10,b,44893,3742,2993,2395,2245,l-snow,y,n,0,1.0
S,3972,11,2,126810,35, ccc,1,n,norway,flat,10,c,64674,5390,2695,4582,4689,rain,n,y,0,1.0
VS,3973,20,6,99845,82, c,1,n,sweden,flat,10,c,83870,6990,6990,4613,6640,fine,n,n,0,1.0
S,3974,19,9,121157,40, dd,1,n,uk,pitched,10,c,83599,6967,5574,6270,5156,l-rain,y,n,0,1.0
VS,3975,20,5,57853,17, ccc,1,n,sweden,pitched,10,c,46861,3906,3906,2968,3710,fine,y,y,1,0.99291515
S,3976,16,7,130332,60, dd,1,n,finland,flat,10,c,110783,9232,7386,8771,6001,l-snow,y,y,1,1.0
VS,3977,6,4,70182,19, d,1,n,uk,pitched,10,c,56146,4679,3744,3790,2901,l-rain,y,n,0,1.0
S,3978,10,5,171910,42, ddd,1,n,denmark,pitched,10,b,156439,13037,10430,10951,12907,l-snow,n,y,0,1.0
VS,3979,3,3,68466,38, cc,1,n,finland,pitched,10,a,34918,2910,2328,2154,2066,l-snow,y,n,0,1.0
S,3980,15,3,134678,37, c,1,n,finland,flat,10,c,87541,7296,5837,4523,6347,l-snow,y,y,0,1.0
VS,3981,2,0,86077,48, c,1,n,uk,pitched,10,c,82634,6887,5509,4683,6542,l-rain,y,y,0,1.0
S,3982,18,0,226851,33, ccc,2,n,denmark,pitched,10,a,158796,13233,10587,11116,10984,l-snow,y,y,0,1.0
VS,3983,3,2,96085,24, ddd,1,n,norway,pitched,10,b,75908,6326,3163,5757,4555,rain,y,n,0,1.0
S,3984,17,4,216657,73, ddd,2,n,finland,flat,10,c,160327,13361,10689,9086,8017,l-snow,n,n,0,1.0
VS,3985,7,3,52015,90, dd,1,n,sweden,pitched,10,c,36411,3035,3035,2580,2003,fine,n,y,1,0.9999981
S,3986,15,15,141686,51, ccc,1,n,uk,flat,10,b,92096,7675,6140,6677,5603,l-rain,y,n,0,0.99999976
VS,3987,3,0,82001,47, ddd,1,n,denmark,flat,10,c,47561,3964,3171,3528,3092,l-snow,n,n,0,1.0
S,3988,17,9,181159,56, dd,1,n,denmark,pitched,10,c,125000,10417,8334,6667,9480,l-snow,n,n,0,1.0
VS,3989,14,6,73818,88, dd,1,n,norway,flat,10,c,59055,4922,2461,4922,3396,rain,n,n,0,1.0
S,3990,20,11,106579,30, ddd,1,n,finland,flat,10,c,89527,7461,5969,6715,7013,l-snow,y,n,0,0.9838161
VS,3991,10,0,79297,19, c,1,n,denmark,flat,10,c,53129,4428,3542,3365,4162,l-snow,y,y,0,1.0
S,3992,15,6,222120,65, ddd,2,n,denmark,flat,10,c,219899,18325,14660,16859,17592,l-snow,n,n,0,1.0
VS,3993,4,2,99118,17, cc,1,n,denmark,flat,10,c,57489,4791,3833,3833,4743,l-snow,y,n,0,1.0
S,3994,6,0,133001,80, d,1,n,norway,flat,10,c,123691,10308,5154,7834,7628,rain,y,y,0,1.0
VS,3995,17,4,55255,13, ccc,1,n,denmark,pitched,10,c,45862,3822,3058,2714,3173,l-snow,n,y,0,1.0
S,3996,15,1,104498,48, dd,1,n,finland,pitched,10,c,56429,4703,3762,3574,2869,l-snow,y,y,0,1.0
VS,3997,10,3,55681,16, b,1,n,uk,pitched,10,c,32295,2692,2153,1884,2476,l-rain,n,n,0,1.0
S,3998,16,4,200452,98, ddd,2,n,denmark,flat,10,c,162367,13531,10825,9607,11096,l-snow,y,y,0,1.0
VS,3999,15,5,82271,49, ccc,1,n,uk,flat,10,a,55122,4594,3675,4502,3262,l-rain,y,n,1,0.999746
S,4000,19,7,123842,34, ccc,1,n,norway,flat,10,c,107743,8979,4490,6914,8171,rain,y,n,0,1.0
VS,4001,18,10,74460,82, ccc,1,n,uk,pitched,10,b,51378,4282,3426,3126,3383,l-rain,y,y,0,1.0
S,4002,12,2,116046,36, c,1,n,sweden,flat,10,c,99800,8317,8317,5323,7153,fine,n,y,0,1.0
VS,4003,19,1,90853,89, ccc,1,n,uk,pitched,10,c,86311,7193,5755,4604,5107,l-rain,n,n,0,1.0
S,4004,11,10,227706,90, b,2,n,norway,pitched,10,a,202659,16889,8445,13342,10133,rain,y,n,0,1.0
VS,4005,19,12,87626,23, d,1,n,sweden,pitched,10,c,71854,5988,5988,4192,4671,fine,y,n,0,1.0
S,4006,6,6,127377,57, ddd,1,n,norway,flat,10,c,123556,10297,5149,9061,7208,rain,n,y,0,1.0
VS,4007,6,2,69704,85, ccc,1,n,norway,pitched,10,c,42520,3544,1772,3331,2623,rain,y,n,0,1.0
S,4008,6,0,144927,64, c,1,n,finland,flat,10,b,104348,8696,6957,5218,7827,l-snow,n,y,0,1.0
VS,4009,10,6,92456,19, b,1,n,uk,flat,10,c,55474,4623,3699,2867,3514,l-rain,y,y,0,1.0
S,4010,14,5,149768,30, c,1,n,denmark,pitched,10,a,116820,9735,7788,9638,6523,l-snow,y,y,1,1.0
VS,4011,8,7,99443,70, b,1,n,finland,pitched,10,c,86516,7210,5768,5912,4398,l-snow,y,y,0,1.0
S,4012,7,2,125984,74, ddd,1,n,uk,flat,10,c,98268,8189,6552,7944,5897,l-rain,y,y,1,1.0
VS,4013,10,7,55264,99, ddd,1,n,finland,pitched,10,c,29290,2441,1953,2441,2246,l-snow,n,n,1,0.9999865
S,4014,8,2,229557,88, ddd,2,n,uk,pitched,10,a,185942,15496,12397,11932,10227,l-rain,y,y,0,1.0
VS,4015,6,6,59888,9, ccc,1,n,sweden,flat,10,c,31741,2646,2646,2407,2540,fine,n,n,1,1.0
S,4016,14,3,131052,40, ccc,1,n,finland,flat,10,b,125810,10485,8388,7759,6501,l-snow,y,y,0,1.0
VS,4017,2,1,50268,76, ccc,1,n,denmark,flat,10,b,36696,3058,2447,2875,2080,l-snow,y,y,0,1.0
S,4018,8,5,160001,35, c,1,n,finland,pitched,10,a,147201,12267,9814,11041,11531,l-snow,y,n,0,1.0
VS,4019,17,5,78768,34, cc,1,n,norway,flat,10,c,55926,4661,2331,3170,3449,rain,y,y,0,1.0
S,4020,5,0,112213,58, ddd,1,n,sweden,pitched,10,c,70695,5892,5892,4478,3889,fine,n,n,1,1.0
VS,4021,16,14,65032,36, cc,1,n,uk,pitched,10,c,39670,3306,2645,2381,2513,l-rain,n,y,0,1.0
S,4022,8,2,119483,39, ddd,1,n,norway,flat,10,b,84833,7070,3535,6858,5232,rain,n,y,0,1.0
VS,4023,11,10,90829,24, d,1,n,norway,flat,10,c,49048,4088,2044,2698,3229,rain,y,y,0,1.0
S,4024,6,2,105512,53, ddd,1,n,sweden,pitched,10,b,80190,6683,6683,4344,4745,fine,n,y,0,1.0
VS,4025,12,4,75142,26, ccc,1,n,sweden,pitched,10,c,37571,3131,3131,2693,2537,fine,n,n,1,1.0
S,4026,14,6,102665,88, cc,1,n,finland,pitched,10,c,98559,8214,6571,7557,7639,l-snow,y,n,0,1.0
VS,4027,4,0,71364,63, cc,1,n,sweden,flat,10,c,61374,5115,5115,3427,4603,fine,y,y,0,1.0
S,4028,8,5,140317,26, b,1,n,finland,flat,10,a,71562,5964,4771,4831,4831,l-snow,n,n,0,1.0
VS,4029,8,1,71291,98, ddd,1,n,finland,pitched,10,c,59172,4931,3945,4093,3107,l-snow,n,n,0,1.0
S,4030,5,0,168459,69, cc,1,n,finland,flat,10,b,136452,11371,9097,10803,7846,l-snow,y,y,1,1.0
VS,4031,18,16,55400,72, cc,1,n,uk,pitched,10,c,44874,3740,2992,3291,2843,l-rain,n,y,0,1.0
S,4032,16,5,162005,95, d,1,n,uk,pitched,10,a,160385,13366,10693,8020,9891,l-rain,y,y,0,1.0
VS,4033,8,6,86801,20, cc,1,n,uk,pitched,10,b,78121,6511,5209,6120,5404,l-rain,n,y,1,0.9978258
S,4034,9,5,123641,62, dd,1,n,sweden,flat,10,c,64294,5358,5358,3483,3376,fine,n,n,0,1.0
VS,4035,3,1,51915,83, cc,1,n,finland,flat,10,c,38418,3202,2562,2786,2306,l-snow,n,y,0,1.0
S,4036,18,3,204544,61, c,2,n,denmark,pitched,10,b,173863,14489,11591,10287,14489,l-snow,y,n,0,1.0
VS,4037,10,5,60166,87, b,1,n,finland,pitched,10,c,57158,4764,3811,4478,2906,l-snow,y,n,0,1.0
S,4038,11,6,178741,51, b,1,n,finland,pitched,10,b,101883,8491,6793,6368,6708,l-snow,n,n,0,1.0
VS,4039,6,3,82980,96, cc,1,n,norway,pitched,10,c,73023,6086,3043,5964,3773,rain,y,y,0,1.0
S,4040,18,0,132766,55, dd,1,n,uk,pitched,10,a,74349,6196,4957,4585,5267,l-rain,y,y,0,1.0
VS,4041,8,3,80953,42, b,1,n,denmark,flat,10,b,61525,5128,4102,3589,3436,l-snow,n,n,0,1.0
S,4042,7,0,142648,49, d,1,n,sweden,pitched,10,c,139796,11650,11650,10136,10718,fine,y,y,1,1.0
VS,4043,4,1,94638,83, d,1,n,norway,flat,10,c,87067,7256,3628,5660,5732,rain,n,n,0,1.0
S,4044,19,6,121192,84, ccc,1,n,uk,pitched,10,b,65444,5454,4363,4145,3382,l-rain,n,y,0,1.0
